"","freq","prev","p.freq","p.prev","p","contaminant"
"LRA",0.00379356179066994,60,NA,0.943223443223443,0.943223443223443,FALSE
"LRG",0.000119707121155225,26,NA,0.746031746031746,0.746031746031746,FALSE
"LSA",0.000233204413804358,26,NA,0.746031746031746,0.746031746031746,FALSE
"LUT",0.000123117784423598,23,NA,0.721855921855922,0.721855921855922,FALSE
"MACA",0.000441633372439401,41,NA,0.85042735042735,0.85042735042735,FALSE
"MACB",0.0013579503680232,51,NA,0.904761904761905,0.904761904761905,FALSE
"MAL",4.23966870735526e-05,16,NA,0.661172161172161,0.661172161172161,FALSE
"MARA",0.000786114630078601,12,NA,0.623809523809524,0.623809523809524,FALSE
"MARR",0.000625186790378847,14,NA,0.642735042735043,0.642735042735043,FALSE
"MCR",0.000854041715404419,45,NA,0.873626373626374,0.873626373626374,FALSE
"MCTB",0.000694788556202073,43,NA,0.862271062271062,0.862271062271062,FALSE
"MDEA",0.000424753415634392,44,NA,0.868009768009768,0.868009768009768,FALSE
"MDFA",0.00159181960438141,50,NA,0.8998778998779,0.8998778998779,FALSE
"MDTA",0.00104175914890774,55,NA,0.604395604395604,0.604395604395604,FALSE
"MDTB",0.00580204691947181,71,NA,0.78021978021978,0.78021978021978,FALSE
"MDTC",0.00673083492111429,76,NA,0.835164835164835,0.835164835164835,FALSE
"MDTE",0.00206278736672717,25,NA,0.738095238095238,0.738095238095238,FALSE
"MDTF",0.00699351461484621,73,NA,0.802197802197802,0.802197802197802,FALSE
"MDTG",0.00123841003246257,37,NA,0.406593406593407,0.406593406593407,TRUE
"MDTH",0.000946783471250653,31,NA,0.783882783882784,0.783882783882784,FALSE
"MDTI",0.000241397077182748,9,NA,0.0989010989010989,0.0989010989010989,TRUE
