"","AMC10","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC29","AMC2","AMC30","AMC31","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC39","AMC3","AMC40","AMC41","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC56","AMC57","AMC58","AMC59","AMC5","AMC60","AMC6","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96","AMC9"
"2980108",0,0,0,14,7,11,8,0,34,6,0,0,25,0,16,31,0,19,28,4,91,0,0,57,0,0,38,27,52,0,20,0,0,139,0,0,9,0,86,13,0,6,0,6,0,51,156,0,0,104,108,15,16,37,13
"2027911",0,23,1,12,15,4,35,0,39,22,0,0,22,0,7,13,0,26,21,0,123,0,1,47,0,7,24,37,34,0,20,0,0,83,0,0,4,9,81,14,0,23,0,0,0,40,222,0,0,95,106,69,46,76,25
"1040979",0,4,2,10,7,9,14,0,15,12,0,0,18,0,16,15,0,53,32,0,94,0,0,48,0,12,7,33,37,0,13,0,0,36,0,0,10,10,74,5,0,30,0,0,0,46,125,0,0,87,74,36,47,53,10
"36873",0,22,3,13,21,6,7,1,49,19,0,0,17,0,11,16,0,40,25,4,64,0,0,36,0,1,27,33,45,0,5,0,0,59,0,0,7,23,83,3,0,25,0,3,0,22,177,0,0,109,113,57,71,44,18
"1795631",0,102,0,83,34,58,82,0,167,175,0,0,99,0,169,140,0,143,259,0,534,0,0,296,0,29,108,214,235,0,160,0,0,264,1,0,113,90,427,85,0,123,0,30,0,155,1239,0,0,454,488,295,228,491,86
"2762323",0,70,0,54,25,27,58,0,83,109,0,0,66,0,84,102,0,86,144,1,369,0,0,201,0,43,53,127,152,1,83,0,0,183,0,0,58,50,315,48,0,97,0,27,0,110,765,0,0,321,382,181,137,270,77
"1105204",0,15,0,14,12,9,30,0,28,49,0,0,30,0,34,14,0,25,55,0,102,0,0,70,0,5,17,38,51,0,28,0,0,53,0,0,30,13,80,9,0,27,0,8,0,28,278,0,0,110,130,60,41,96,41
"2811425",0,59,0,0,0,41,122,0,288,110,0,0,44,0,113,150,0,52,0,0,553,0,0,332,0,0,193,189,121,0,51,0,0,402,0,0,111,0,411,77,0,114,0,0,0,155,957,0,0,325,439,397,313,493,96
"2714923",0,23,2,22,7,12,16,1,37,32,0,0,25,0,36,39,0,31,50,1,134,0,0,77,0,15,21,53,60,0,21,0,0,67,0,0,21,19,109,17,0,16,0,7,0,46,296,0,0,118,122,85,67,67,21
"1858609",0,128,4,95,50,29,102,1,157,169,0,3,88,4,181,124,0,167,195,0,445,0,0,383,0,36,150,189,255,0,134,0,1,246,0,0,108,78,434,110,0,176,0,12,0,258,1336,0,2,642,585,349,207,396,81
"795665",0,54,1,82,44,34,34,0,126,111,0,0,110,0,97,100,0,100,150,0,382,0,0,237,0,16,82,115,126,0,73,0,0,186,0,0,91,71,328,46,0,97,0,23,0,149,910,0,0,324,404,203,169,292,89
"2806262",0,21,2,12,12,2,21,0,47,52,0,0,23,0,43,32,0,32,48,0,111,0,0,84,0,12,35,58,70,0,27,0,0,74,0,0,32,23,111,19,0,45,0,19,0,56,312,0,0,137,142,78,53,102,21
"199683",0,18,0,21,7,13,20,0,21,53,0,2,31,0,32,48,0,33,52,0,118,0,0,77,0,7,23,53,48,0,22,0,0,58,0,0,21,14,97,19,0,26,0,17,0,28,317,0,0,131,132,78,40,132,38
"47421",0,24,0,54,30,14,36,0,77,120,0,4,71,0,79,50,0,79,91,0,251,0,0,124,0,8,37,74,135,1,48,0,0,144,0,0,40,35,220,42,0,75,1,20,0,103,487,0,0,213,223,123,119,195,45
"192843",0,13,0,14,7,11,21,1,21,24,0,0,31,0,44,30,0,36,43,0,123,0,0,97,0,8,24,48,71,0,26,0,0,62,1,0,19,20,121,27,0,53,0,5,0,54,274,0,0,132,141,91,52,98,22
"558537",0,78,0,67,0,8,120,0,113,131,0,5,126,0,85,178,0,99,191,0,482,0,0,287,0,48,96,159,266,0,99,0,0,247,0,0,52,45,393,71,0,110,0,24,0,89,1167,0,0,506,567,350,160,390,69
"2597701",0,18,3,8,12,6,30,0,27,35,0,0,23,0,25,27,0,42,39,0,115,0,0,78,0,3,16,33,62,0,16,0,0,60,0,0,27,16,61,27,0,29,0,8,0,31,279,0,0,92,142,58,50,77,19
